Index,CASRN,Chemical.Name,Source,Toxicity.Value,Organ,Reference,Effect,Dose.Converted,X.Doses,Dose,Dose.Unit1,Dose.Unit2,Final.Dose,N.Animal,Obs.Animal,Species,Strain,Sex,Effect.Sex,Route,No.Days,Duration,Duration.type
147,121824,RDX,IRIS,0.11,liver,"U.S. Department of Defense. 1984. Available from U.S. Army Medical Research and Development Command. DAMD17-79-C-9161. Ft. Detrick, Frederick, MD 20701.","liver, hepatocellular carcinoma, and adenomas (combined)",HEq,5,0.13,mg/kg/day,mg/kg/day,0.13,62,5,Mouse,B6C3F1,M/F,F,Oral diet,NA,24,Months
147,121824,RDX,IRIS,0.11,liver,"U.S. Department of Defense. 1984. Available from U.S. Army Medical Research and Development Command. DAMD17-79-C-9161. Ft. Detrick, Frederick, MD 20701.","liver, hepatocellular carcinoma, and adenomas (combined)",HEq,5,0.58,mg/kg/day,mg/kg/day,0.58,64,9,Mouse,B6C3F1,M/F,F,Oral diet,NA,24,Months
147,121824,RDX,IRIS,0.11,liver,"U.S. Department of Defense. 1984. Available from U.S. Army Medical Research and Development Command. DAMD17-79-C-9161. Ft. Detrick, Frederick, MD 20701.","liver, hepatocellular carcinoma, and adenomas (combined)",HEq,5,2.9,mg/kg/day,mg/kg/day,2.9,64,12,Mouse,B6C3F1,M/F,F,Oral diet,NA,24,Months
147,121824,RDX,IRIS,0.11,liver,"U.S. Department of Defense. 1984. Available from U.S. Army Medical Research and Development Command. DAMD17-79-C-9161. Ft. Detrick, Frederick, MD 20701.","liver, hepatocellular carcinoma, and adenomas (combined)",HEq,5,8.3,mg/kg/day,mg/kg/day,8.3,31,6,Mouse,B6C3F1,M/F,F,Oral diet,NA,24,Months
148,122667,Hydrazobenzene,IRIS,0.8,liver,NCI (National Cancer Institute). 1979. Bioassay of Hydrazobenzene for Possible Carcinogenicity. U.S. DHEW Publ. No. NIH 78-1342.,hepatocellular carcinomas and neoplastic liver nodules,HEq,3,0,mg/kg/day,% of diet,0,95,6,Rat,Fischer 344,M/F,M,Oral diet,NA,78,Weeks
148,122667,Hydrazobenzene,IRIS,0.8,liver,NCI (National Cancer Institute). 1979. Bioassay of Hydrazobenzene for Possible Carcinogenicity. U.S. DHEW Publ. No. NIH 78-1342.,hepatocellular carcinomas and neoplastic liver nodules,HEq,3,4,mg/kg/day,% of diet,4,49,13,Rat,Fischer 344,M/F,M,Oral diet,NA,78,Weeks
148,122667,Hydrazobenzene,IRIS,0.8,liver,NCI (National Cancer Institute). 1979. Bioassay of Hydrazobenzene for Possible Carcinogenicity. U.S. DHEW Publ. No. NIH 78-1342.,hepatocellular carcinomas and neoplastic liver nodules,HEq,3,15,mg/kg/day,% of diet,15,49,37,Rat,Fischer 344,M/F,M,Oral diet,NA,78,Weeks
149,123319,Hydroquinone   ,PPRTV,0.06,blood,NTP (National Toxicology Program). 1989. Toxicology and carcinogenesis studies of hydroquinone (CAS No. 123-31-9) in F344/N rats and B6C3F1 mice (gavage studies). NTP TR 366. NIH Publication No. 90-2821.,mononuclear cell leukemia,Dose,3,0,mg/kg-d,mg/kg-d,0,55,9,Rat,Fischer 344,M/F,F,Oral gavage,5,103,Weeks
149,123319,Hydroquinone   ,PPRTV,0.06,blood,NTP (National Toxicology Program). 1989. Toxicology and carcinogenesis studies of hydroquinone (CAS No. 123-31-9) in F344/N rats and B6C3F1 mice (gavage studies). NTP TR 366. NIH Publication No. 90-2821.,mononuclear cell leukemia,Dose,3,25,mg/kg-d,mg/kg-d,17.85714286,55,15,Rat,Fischer 344,M/F,F,Oral gavage,5,103,Weeks
149,123319,Hydroquinone   ,PPRTV,0.06,blood,NTP (National Toxicology Program). 1989. Toxicology and carcinogenesis studies of hydroquinone (CAS No. 123-31-9) in F344/N rats and B6C3F1 mice (gavage studies). NTP TR 366. NIH Publication No. 90-2821.,mononuclear cell leukemia,Dose,3,50,mg/kg-d,mg/kg-d,35.71428571,55,22,Rat,Fischer 344,M/F,F,Oral gavage,5,103,Weeks
150,123739,trans-Crotonaldehyde,HEAST,1.9,liver,"Chung, F.L., T. Tamaka, S.S. Hecht. 1986. Induction of liver tumors in F344 rats by Crotonaldehyde. Cancer Res. 46: 1285-1289.",liver neoplastic nodules and hepatocellular carcinomas,HEq,3,0,mg/kg/day,mg/L,0,23,0,Rat,Fischer 344,M,Both,Oral drinking water,NA,113,Weeks
150,123739,trans-Crotonaldehyde,HEAST,1.9,liver,"Chung, F.L., T. Tamaka, S.S. Hecht. 1986. Induction of liver tumors in F344 rats by Crotonaldehyde. Cancer Res. 46: 1285-1289.",liver neoplastic nodules and hepatocellular carcinomas,HEq,3,0.36,mg/kg/day,mg/L,0.36,27,9,Rat,Fischer 344,M,Both,Oral drinking water,NA,113,Weeks
150,123739,trans-Crotonaldehyde,HEAST,1.9,liver,"Chung, F.L., T. Tamaka, S.S. Hecht. 1986. Induction of liver tumors in F344 rats by Crotonaldehyde. Cancer Res. 46: 1285-1289.",liver neoplastic nodules and hepatocellular carcinomas,HEq,3,3,mg/kg/day,mg/L,3,23,1,Rat,Fischer 344,M,Both,Oral drinking water,NA,113,Weeks
151,123911,"1,4-Dioxane",CalEPA,0.027,liver,"National Cancer Institute (NCI). 1978. Bioassay of 1,4-Dioxane for Possible Carcinogenicity. DHEW Pb. No. 78-1330. Carcinogenesis Testing Program, Division of Cancer Cause and Prevention, National Cancer Institute, National Institutes of Health, Bethesda, MD.",combined hepatocellular carcinoma and adenoma,Dose,3,0,mg/kg/day,mg/kg/day,0,50,0,Mouse,B6C3F1,M/F,F,Oral drinking water,NA,90,Weeks
151,123911,"1,4-Dioxane",CalEPA,0.027,liver,"National Cancer Institute (NCI). 1978. Bioassay of 1,4-Dioxane for Possible Carcinogenicity. DHEW Pb. No. 78-1330. Carcinogenesis Testing Program, Division of Cancer Cause and Prevention, National Cancer Institute, National Institutes of Health, Bethesda, MD.",combined hepatocellular carcinoma and adenoma,Dose,3,380,mg/kg/day,mg/kg/day,380,48,21,Mouse,B6C3F1,M/F,F,Oral drinking water,NA,90,Weeks
151,123911,"1,4-Dioxane",CalEPA,0.027,liver,"National Cancer Institute (NCI). 1978. Bioassay of 1,4-Dioxane for Possible Carcinogenicity. DHEW Pb. No. 78-1330. Carcinogenesis Testing Program, Division of Cancer Cause and Prevention, National Cancer Institute, National Institutes of Health, Bethesda, MD.",combined hepatocellular carcinoma and adenoma,Dose,3,860,mg/kg/day,mg/kg/day,860,37,35,Mouse,B6C3F1,M/F,F,Oral drinking water,NA,90,Weeks
152,123911,"1,4-Dioxane",IRIS,0.1,liver,"Kano H; Umeda Y; Kasai T; Sasaki T; Matsumoto M; Yamazaki K; Nagano K; Arito H; Fukushima S (2009). Carcinogenicity studies of 1,4-dioxane administered in drinking-water to rats and mice for 2 years. Food Chem Toxicol, 47: 2776-2784.",hepatocellular adenomas and carcinomas in female mice,Dose,4,0,mg/kg/day,mg/kg/day,0,50,5,Mouse,BDF1,F,F,Oral drinking water,NA,2,Years
152,123911,"1,4-Dioxane",IRIS,0.1,liver,"Kano H; Umeda Y; Kasai T; Sasaki T; Matsumoto M; Yamazaki K; Nagano K; Arito H; Fukushima S (2009). Carcinogenicity studies of 1,4-dioxane administered in drinking-water to rats and mice for 2 years. Food Chem Toxicol, 47: 2776-2784.",hepatocellular adenomas and carcinomas in female mice,Dose,4,66,mg/kg/day,mg/kg/day,66,50,35,Mouse,BDF1,F,F,Oral drinking water,NA,2,Years
152,123911,"1,4-Dioxane",IRIS,0.1,liver,"Kano H; Umeda Y; Kasai T; Sasaki T; Matsumoto M; Yamazaki K; Nagano K; Arito H; Fukushima S (2009). Carcinogenicity studies of 1,4-dioxane administered in drinking-water to rats and mice for 2 years. Food Chem Toxicol, 47: 2776-2784.",hepatocellular adenomas and carcinomas in female mice,Dose,4,278,mg/kg/day,mg/kg/day,278,50,41,Mouse,BDF1,F,F,Oral drinking water,NA,2,Years
152,123911,"1,4-Dioxane",IRIS,0.1,liver,"Kano H; Umeda Y; Kasai T; Sasaki T; Matsumoto M; Yamazaki K; Nagano K; Arito H; Fukushima S (2009). Carcinogenicity studies of 1,4-dioxane administered in drinking-water to rats and mice for 2 years. Food Chem Toxicol, 47: 2776-2784.",hepatocellular adenomas and carcinomas in female mice,Dose,4,964,mg/kg/day,mg/kg/day,964,50,46,Mouse,BDF1,F,F,Oral drinking water,NA,2,Years
153,124481,Dibromochloromethane,CalEPA,0.094,liver,"National Toxicology Program (NTP, 1985). Toxicology and Carcinogenesis Studies of Chlorodibromomethane in F344/N Rats and B6C3F1 Mice (Gavage Studies). NTP Technical Report Series No. 282. NIH Publication No. 85-2538. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",Combined hepatocellular adenomas and carcinomas,Conv,3,0,mg/kg-day (ADJ),mg/kg-day,0,50,6,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
153,124481,Dibromochloromethane,CalEPA,0.094,liver,"National Toxicology Program (NTP, 1985). Toxicology and Carcinogenesis Studies of Chlorodibromomethane in F344/N Rats and B6C3F1 Mice (Gavage Studies). NTP Technical Report Series No. 282. NIH Publication No. 85-2538. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",Combined hepatocellular adenomas and carcinomas,Conv,3,36,mg/kg-day (ADJ),mg/kg-day,36,49,10,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
153,124481,Dibromochloromethane,CalEPA,0.094,liver,"National Toxicology Program (NTP, 1985). Toxicology and Carcinogenesis Studies of Chlorodibromomethane in F344/N Rats and B6C3F1 Mice (Gavage Studies). NTP Technical Report Series No. 282. NIH Publication No. 85-2538. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",Combined hepatocellular adenomas and carcinomas,Conv,3,71,mg/kg-day (ADJ),mg/kg-day,71,50,19,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
154,124481,Dibromochloromethane,IRIS,0.084,liver,NTP (National Toxicology Program). 1985. Toxicology and carcinogenesis studies of chlorodibromomethane (CAS No. 124-48-1) in F344/N rats and B6C3F1 mice (gavage studies). NTP Tech. Report Series No. 282. NTIS PB 86-166675.,hepatocellular adenoma or carcinoma,HEq,3,0,mg/kg-day,mg/kg-day,0,50,6,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
154,124481,Dibromochloromethane,IRIS,0.084,liver,NTP (National Toxicology Program). 1985. Toxicology and carcinogenesis studies of chlorodibromomethane (CAS No. 124-48-1) in F344/N rats and B6C3F1 mice (gavage studies). NTP Tech. Report Series No. 282. NTIS PB 86-166675.,hepatocellular adenoma or carcinoma,HEq,3,35.71,mg/kg-day,mg/kg-day,35.71,49,10,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
154,124481,Dibromochloromethane,IRIS,0.084,liver,NTP (National Toxicology Program). 1985. Toxicology and carcinogenesis studies of chlorodibromomethane (CAS No. 124-48-1) in F344/N rats and B6C3F1 mice (gavage studies). NTP Tech. Report Series No. 282. NTIS PB 86-166675.,hepatocellular adenoma or carcinoma,HEq,3,71.43,mg/kg-day,mg/kg-day,71.43,50,19,Mouse,B6C3F1,M/F,F,Oral gavage,5,105,Weeks
155,126727,Tris(2-3-dibromopropyl)phosphate,CalEPA,2.3,kidneys,"National Cancer Institute (NCI, 1978). Bioassay of Tris(2,3-dibromopropyl)phosphate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 76. NTIS Publication No. PB 280271. US Department of Health, Education and Welfare, NCI Carcinclgenesis Testing Program, Bethesda, MD.",kidney tumors - tubular cell adenoma or adenocarcinoma,Dose,3,0,ppm diet,ppm diet,0,53,0,Rat,Fischer 344,M/F,M,Oral diet,NA,104,Weeks
155,126727,Tris(2-3-dibromopropyl)phosphate,CalEPA,2.3,kidneys,"National Cancer Institute (NCI, 1978). Bioassay of Tris(2,3-dibromopropyl)phosphate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 76. NTIS Publication No. PB 280271. US Department of Health, Education and Welfare, NCI Carcinclgenesis Testing Program, Bethesda, MD.",kidney tumors - tubular cell adenoma or adenocarcinoma,Dose,3,50,ppm diet,ppm diet,3.947368421,54,26,Rat,Fischer 344,M/F,M,Oral diet,NA,104,Weeks
155,126727,Tris(2-3-dibromopropyl)phosphate,CalEPA,2.3,kidneys,"National Cancer Institute (NCI, 1978). Bioassay of Tris(2,3-dibromopropyl)phosphate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 76. NTIS Publication No. PB 280271. US Department of Health, Education and Welfare, NCI Carcinclgenesis Testing Program, Bethesda, MD.",kidney tumors - tubular cell adenoma or adenocarcinoma,Dose,3,100,ppm diet,ppm diet,7.894736842,54,29,Rat,Fischer 344,M/F,M,Oral diet,NA,104,Weeks
156,126738,Tributyl Phosphate   ,PPRTV,0.009,bladder,"Auletta, C.S., M. L. Weiner and W.R. Richter. 1998a. A dietary toxicity/oncogenicity study of tributyl phosphate in the rat. Toxicology. 128:125–134.",urinary bladder tumor,HEq,4,0,mg/kg-day,mg/kg-day,0,50,0,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,2,Years
156,126738,Tributyl Phosphate   ,PPRTV,0.009,bladder,"Auletta, C.S., M. L. Weiner and W.R. Richter. 1998a. A dietary toxicity/oncogenicity study of tributyl phosphate in the rat. Toxicology. 128:125–134.",urinary bladder tumor,HEq,4,2.62,mg/kg-day,mg/kg-day,2.62,50,0,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,2,Years
156,126738,Tributyl Phosphate   ,PPRTV,0.009,bladder,"Auletta, C.S., M. L. Weiner and W.R. Richter. 1998a. A dietary toxicity/oncogenicity study of tributyl phosphate in the rat. Toxicology. 128:125–134.",urinary bladder tumor,HEq,4,9.56,mg/kg-day,mg/kg-day,9.56,49,2,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,2,Years
156,126738,Tributyl Phosphate   ,PPRTV,0.009,bladder,"Auletta, C.S., M. L. Weiner and W.R. Richter. 1998a. A dietary toxicity/oncogenicity study of tributyl phosphate in the rat. Toxicology. 128:125–134.",urinary bladder tumor,HEq,4,42.13,mg/kg-day,mg/kg-day,42.13,49,30,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,2,Years
157,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,systemic,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",subcutaneous tissue (fibroma),Dose,3,0,% diet,% diet,0,48,3,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
157,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,systemic,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",subcutaneous tissue (fibroma),Dose,3,0.06,% diet,% diet,102.9490617,49,10,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
157,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,systemic,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",subcutaneous tissue (fibroma),Dose,3,0.12,% diet,% diet,205.8981233,49,34,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
158,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,vascular system,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",hemangiosarcomas,Dose,3,0,% diet,% diet,0,48,0,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
158,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,vascular system,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",hemangiosarcomas,Dose,3,0.06,% diet,% diet,102.9490617,49,1,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
158,129157,2-Methyl-1-nitroanthraquinone (of uncertain purity),CalEPA,4.3,vascular system,"National Cancer Institute (NCI, 1978). Bioassay of 2-Methyl-l-Nitroanthraquinone for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 29. NTIS Publication No. PB 277439. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",hemangiosarcomas,Dose,3,0.12,% diet,% diet,205.8981233,49,3,Mouse,B6C3F1,M/F,M,Oral diet,NA,78,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,0,% diet,% diet,0,20,0,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,0.125,% diet,% diet,98.68421053,20,0,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,0.25,% diet,% diet,197.3684211,20,0,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,0.5,% diet,% diet,394.7368421,21,1,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,1,% diet,% diet,789.4736842,21,7,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,2,% diet,% diet,1578.947368,21,20,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
159,132274,"o-Phenylphenate, sodium",CalEPA,0.003,urinary tract,"Hiraga K and Fujii T (1981). Induction of tumors of the urinary system in the F344 rats by dietary administration of sodium o-phenylphenate. Food Cosmet. Toxicol. 19:
303-310.",Tumors of urinary tract system,Dose,7,4,% diet,% diet,3157.894737,20,17,Rat,Fischer 344,M,Both,Oral diet,NA,91,Weeks
160,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,0,mg/kg/day,ppm,0,104,1,Mouse,CD-1,M/F,M,Oral diet,NA,112-113,Weeks
160,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,7.4,mg/kg/day,ppm,7.4,80,2,Mouse,CD-1,M/F,M,Oral diet,NA,112-113,Weeks
160,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,40.2,mg/kg/day,ppm,40.2,80,8,Mouse,CD-1,M/F,M,Oral diet,NA,112-113,Weeks
160,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,102.6,mg/kg/day,ppm,102.6,80,41,Mouse,CD-1,M/F,M,Oral diet,NA,112-113,Weeks
161,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,0,mg/kg/day,ppm,0,104,0,Mouse,CD-1,M/F,F,Oral diet,NA,112-113,Weeks
161,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,7.6,mg/kg/day,ppm,7.6,80,1,Mouse,CD-1,M/F,F,Oral diet,NA,112-113,Weeks
161,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,41.2,mg/kg/day,ppm,41.2,80,8,Mouse,CD-1,M/F,F,Oral diet,NA,112-113,Weeks
161,133073,Folpet,IRIS,0.0035,gastrointestinal,"Chevron Chemical Corporation. 1982. Chevron study: Lifetime oncogenicity feeding study of pholton technical (SX-946; folpet) in CD-1 (ICR derived) mice. August 24. Social Study No. 1331. (Cited in U.S. EPA, 1986)",digestive tract tumors (adenoma and/or adenocarcinoma),HEq,4,102.7,mg/kg/day,ppm,102.7,80,41,Mouse,CD-1,M/F,F,Oral diet,NA,112-113,Weeks
162,139139,Nitrilotriacetic Acid,CalEPA,0.0053,liver,"National Cancer Institute (NCI, 1977). Bioassay of Nitrilotriacetic Acid (NTA) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No.6. NTIS .
Publication No. PB 266177. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.

National Toxicology Program (NTP, 1991). Chemical Status Report. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",benign and malignant liver tumors,Dose,3,0,ppm diet,ppm diet,0,15,2,Rat,Fischer 344,M/F,F,Oral diet,NA,99,Weeks
162,139139,Nitrilotriacetic Acid,CalEPA,0.0053,liver,"National Cancer Institute (NCI, 1977). Bioassay of Nitrilotriacetic Acid (NTA) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No.6. NTIS .
Publication No. PB 266177. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.

National Toxicology Program (NTP, 1991). Chemical Status Report. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",benign and malignant liver tumors,Dose,3,7500,ppm diet,ppm diet,687.7729258,49,8,Rat,Fischer 344,M/F,F,Oral diet,NA,99,Weeks
162,139139,Nitrilotriacetic Acid,CalEPA,0.0053,liver,"National Cancer Institute (NCI, 1977). Bioassay of Nitrilotriacetic Acid (NTA) for Possible Carcinogenicity. Carcinogenesis Technical Report Series No.6. NTIS .
Publication No. PB 266177. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.

National Toxicology Program (NTP, 1991). Chemical Status Report. US Department of Health and Human Services, NTP, Research Triangle Park, NC.",benign and malignant liver tumors,Dose,3,15000,ppm diet,ppm diet,1375.545852,46,22,Rat,Fischer 344,M/F,F,Oral diet,NA,99,Weeks
163,139651,"4,4-Thiodianiline",CalEPA,15,female repro,"NCI 1978 as cited in Gold 1984

Nancer Institute (NCI, 1978). Bioassay of 4,4'-Thiodianilinefor Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 47. NTIS Publication No. PB 280360. US Department of Health, Education and Welfare, NCI CarcilrlOgenesis Testing Program, Bethesda, MD.",carcinomas of the uterus,Dose,3,0,ppm diet,ppm diet,0,15,0,Rat,Fischer 344,M/F,F,Oral diet,5,69-72,Weeks
163,139651,"4,4-Thiodianiline",CalEPA,15,female repro,"NCI 1978 as cited in Gold 1984

Nancer Institute (NCI, 1978). Bioassay of 4,4'-Thiodianilinefor Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 47. NTIS Publication No. PB 280360. US Department of Health, Education and Welfare, NCI CarcilrlOgenesis Testing Program, Bethesda, MD.",carcinomas of the uterus,Dose,3,1500,ppm diet,ppm diet,98.25327511,33,31,Rat,Fischer 344,M/F,F,Oral diet,5,69-72,Weeks
163,139651,"4,4-Thiodianiline",CalEPA,15,female repro,"NCI 1978 as cited in Gold 1984

Nancer Institute (NCI, 1978). Bioassay of 4,4'-Thiodianilinefor Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 47. NTIS Publication No. PB 280360. US Department of Health, Education and Welfare, NCI CarcilrlOgenesis Testing Program, Bethesda, MD.",carcinomas of the uterus,Dose,3,3000,ppm diet,ppm diet,196.5065502,32,23,Rat,Fischer 344,M/F,F,Oral diet,5,69-72,Weeks
164,140578,Aramite,CalEPA,0.03,liver,"Oser BL and Oser M (1960). 2-(p-Tert-butylphenoxy) isopropyl2-chloroethyl sulfite (aramiite). 1. Acute, subacute, and chronic oral toxicity. Toxicol. Appl. Pharmacol. 2:441·457.",liver tumors,Dose,4,0,ppm diet,ppm diet,0,22,0,Rat,Albino,M/F,Both,Oral diet,NA,104,Weeks
164,140578,Aramite,CalEPA,0.03,liver,"Oser BL and Oser M (1960). 2-(p-Tert-butylphenoxy) isopropyl2-chloroethyl sulfite (aramiite). 1. Acute, subacute, and chronic oral toxicity. Toxicol. Appl. Pharmacol. 2:441·457.",liver tumors,Dose,4,500,ppm diet,ppm diet,38.72282609,20,0,Rat,Albino,M/F,Both,Oral diet,NA,104,Weeks
164,140578,Aramite,CalEPA,0.03,liver,"Oser BL and Oser M (1960). 2-(p-Tert-butylphenoxy) isopropyl2-chloroethyl sulfite (aramiite). 1. Acute, subacute, and chronic oral toxicity. Toxicol. Appl. Pharmacol. 2:441·457.",liver tumors,Dose,4,1500,ppm diet,ppm diet,116.1684783,21,2,Rat,Albino,M/F,Both,Oral diet,NA,104,Weeks
